"","id","method","k_reduction","perp","AgreeAvg","Phi_Fx","numberOfExecutions","varElapsedTime","meanElapsedTime","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","best_K_evaluation","LCMC_Nk","LCMC_Mk","LCMC_Mk_Adjusted"
"LMDS [k=18] [kQuality=21] (HSLocalMDS)","LMDS [k=18] [kQuality=21] (HSLocalMDS)","LMDS (HSLocalMDS)",18,NA,0.76,0.51,1,NA,3.034,0.923,0.923,0.923,0.923,0.923,0.923,18,11.722,0.651,0.449
"LMDS [k=21] (smacofx)","LMDS [k=21] (smacofx)","LMDS (smacofx)",21,NA,0.74,0.48,1,NA,3.43,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=21] [kQuality=18] (HSLocalMDS)","LMDS [k=21] [kQuality=18] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.362,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=19] (HSLocalMDS)","LMDS [k=21] [kQuality=19] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.439,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=20] (HSLocalMDS)","LMDS [k=21] [kQuality=20] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.434,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=21] (HSLocalMDS)","LMDS [k=21] [kQuality=21] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.44,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=22] (HSLocalMDS)","LMDS [k=21] [kQuality=22] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.438,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=23] (HSLocalMDS)","LMDS [k=21] [kQuality=23] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.446,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=21] [kQuality=24] (HSLocalMDS)","LMDS [k=21] [kQuality=24] (HSLocalMDS)","LMDS (HSLocalMDS)",21,NA,0.76,0.52,1,NA,2.439,0.923,0.923,0.923,0.923,0.923,0.923,18,11.5,0.639,0.437
"LMDS [k=24] (smacofx)","LMDS [k=24] (smacofx)","LMDS (smacofx)",24,NA,0.74,0.48,1,NA,1.858,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=24] [kQuality=21] (HSLocalMDS)","LMDS [k=24] [kQuality=21] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.385,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=22] (HSLocalMDS)","LMDS [k=24] [kQuality=22] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.34,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=23] (HSLocalMDS)","LMDS [k=24] [kQuality=23] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.273,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=24] (HSLocalMDS)","LMDS [k=24] [kQuality=24] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.303,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=25] (HSLocalMDS)","LMDS [k=24] [kQuality=25] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.362,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=26] (HSLocalMDS)","LMDS [k=24] [kQuality=26] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.366,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=24] [kQuality=27] (HSLocalMDS)","LMDS [k=24] [kQuality=27] (HSLocalMDS)","LMDS (HSLocalMDS)",24,NA,0.76,0.52,1,NA,4.318,0.846,0.846,0.846,0.846,0.846,0.846,18,11.422,0.635,0.432
"LMDS [k=27] (smacofx)","LMDS [k=27] (smacofx)","LMDS (smacofx)",27,NA,0.74,0.48,1,NA,2.559,0.769,0.692,0.846,0.818,0.692,0.75,18,10.244,0.569,0.367
"LMDS [k=27] [kQuality=24] (HSLocalMDS)","LMDS [k=27] [kQuality=24] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.546,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
"LMDS [k=27] [kQuality=25] (HSLocalMDS)","LMDS [k=27] [kQuality=25] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.688,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
"LMDS [k=27] [kQuality=26] (HSLocalMDS)","LMDS [k=27] [kQuality=26] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.543,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
"LMDS [k=27] [kQuality=27] (HSLocalMDS)","LMDS [k=27] [kQuality=27] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.516,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
"LMDS [k=27] [kQuality=28] (HSLocalMDS)","LMDS [k=27] [kQuality=28] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.661,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
"LMDS [k=27] [kQuality=29] (HSLocalMDS)","LMDS [k=27] [kQuality=29] (HSLocalMDS)","LMDS (HSLocalMDS)",27,NA,0.77,0.52,1,NA,14.544,0.769,0.769,0.769,0.769,0.769,0.769,18,11.189,0.622,0.419
